clean_text,category
when modi promised “minimum government maximum governance” expected him begin the difficult job reforming the state why does take years get justice state should and not business and should exit psus and temples,-1
talk all the nonsense and continue all the drama will vote for modi ,0
what did just say vote for modi  welcome bjp told you rahul the main campaigner for modi think modi should just relax,1
asking his supporters prefix chowkidar their names modi did great service now there confusion what read what not now crustal clear what will crass filthy nonsensical see how most abuses are coming from chowkidars,1
answer who among these the most powerful world leader today trump putin modi may ,1
kiya tho refresh maarkefir comment karo ,0
"surat women perform yagna seeks divine grace for narendra modi become again
",0
this comes from cabinet which has scholars like modi smriti and hema time introspect,0
with upcoming election india saga going important pair look current modi leads govt elected with deal brexit combination this weekly looks juicy bears imho ,1
gandhi was gay does modi  ,1
things like demonetisation gst goods and services tax…the upper castes would sort either view favourably say that need give this more time other castes like dalits the muslims were more against because that’ just not modi’ constituency2,1
hope tuthukudi people would prefer honest well behaved nationalist courageous likly minister modi cabinet vote benifit thuthukudi ,1
calm waters wheres the modi wave ,1
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his vote kar campaign ,0
one vote can make all the difference anil kapoor answers modis election 2019 clarion call extends support his campaign ,0
vote such party and leadershipwho can take fast and firm action none other than narendra damodardas modi and bjp party ,-1
vote modi who has not created jobs,0
through our vote ensure govt need and deserve anupam kher responds modis appeal for the 2019 elections ,0
"dont play with the words was talking about the modi swamy relation guru saying what good and chowkidar protecting the good mind you tweeted dark side terrorism there any brighter side you better know there any
",1
didn’ write chowkidar does mean ’ anti modi try visit the plz not all who haven’ used are anti ,-1
was the one who recently said that people who vote against modi are anti national that put gen hooda all congress supporters and those jawans who not support modi anti national what great things did you hear about him,1
with firm belief the leadership shri narendra modi bjp entering into politics given form file nomination for the khammam parliamentary seat proceeding khammam today ,-1
crush jaws those who shoutmodimodi says jds mla this inciting murder,0
sultanpur uttar pradesh loksabha candidate select pawan kumar pandey actually public want given vote modi but your current condidate not popular district your candidate bsp candidate sonbhadra singh,-1
thiugh nehru not alive but still alive heart modi for every failure nehru responsible ,-1
"
development has become mass movement under modi govt with economic social and political empowerment life one and all has witnessed positive paradigm shift this new india",1
